WARNING: src/instr_mem.v:10: $readmemb(assembler/out.txt): Not enough words in the file for the requested range [0:255].
VCD info: dumpfile cpu_trace.vcd opened for output.
ALU PASS | Result:      0
ALU PASS | Result:     16
ALU PASS | Result:    -16
ALU PASS | Result:    256
ALU PASS | Result:    272
ALU PASS | Result:    272
ALU PASS | Result:    256
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:     12
ALU PASS | Result:    268
ALU PASS | Result:    249
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      1
ALU PASS | Result:      1
ALU PASS | Result:      2
ALU PASS | Result:      4
ALU PASS | Result:      2
ALU PASS | Result:      0
ALU PASS | Result:      6
ALU PASS | Result:     24
ALU PASS | Result:    -25
ALU PASS | Result:      0
ALU PASS | Result:    120
ALU PASS | Result:      0
ALU PASS | Result:    -25
ALU PASS | Result:    -25
ALU PASS | Result:      2
ALU PASS | Result:      2
ALU PASS | Result:      2
ALU PASS | Result:      2
ALU PASS | Result:      2
ALU PASS | Result:     36
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:    127
ALU PASS | Result:    137
ALU PASS | Result:     -1
ALU PASS | Result:   -121
ALU PASS | Result:      0
ALU PASS | Result:    100
ALU PASS | Result:    300
ALU PASS | Result:      0
ALU PASS | Result:    100
ALU PASS | Result:    200
ALU PASS | Result:      0
ALU PASS | Result:      1
ALU PASS | Result:     36
ALU PASS | Result:      2
ALU PASS | Result:      1
ALU PASS | Result:     36
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:    127
ALU PASS | Result:    137
ALU PASS | Result:     -1
ALU PASS | Result:   -121
ALU PASS | Result:      0
ALU PASS | Result:    100
ALU PASS | Result:    300
ALU PASS | Result:      0
ALU PASS | Result:    100
ALU PASS | Result:    200
ALU PASS | Result:      0
ALU PASS | Result:      2
ALU PASS | Result:     36
ALU PASS | Result:      2
ALU PASS | Result:      2
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:    147
ALU PASS | Result:    148
ALU PASS | Result:    149
ALU PASS | Result:    311
ALU PASS | Result:    161
ALU PASS | Result: -15465
ALU PASS | Result:    311
ALU PASS | Result:    311
ALU PASS | Result:    161
ALU PASS | Result: -15465
ALU PASS | Result:    161
ALU PASS | Result: -15465
ALU PASS | Result:      0
ALU PASS | Result:    158
ALU PASS | Result:    168
ALU PASS | Result:      0
ALU PASS | Result:    163
ALU PASS | Result:      0
ALU PASS | Result:    326
ALU PASS | Result:    652
ALU PASS | Result:      0
ALU PASS | Result:   1304
ALU PASS | Result:      0
ALU PASS | Result:    652
ALU PASS | Result:      0
ALU PASS | Result:     12
ALU PASS | Result:      0
ALU PASS | Result:     14
ALU PASS | Result:      0
ALU PASS | Result:    103
ALU PASS | Result:      0
ALU PASS | Result:   1407
ALU PASS | Result:   1407
ALU PASS | Result:      0
ALU PASS | Result:    103
ALU PASS | Result:      0
ALU PASS | Result:  -1304
ALU PASS | Result:      0
ALU PASS | Result:  -1300
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:  -3240
ALU PASS | Result:  -3240
ALU PASS | Result:  -1292
ALU PASS | Result:      4
ALU PASS | Result:     12
ALU PASS | Result:     12
ALU PASS | Result:    664
ALU PASS | Result:    660
ALU PASS | Result:     -8
ALU PASS | Result:      8
ALU PASS | Result:      0
ALU PASS | Result:     12
ALU PASS | Result:    648
ALU PASS | Result:    644
ALU PASS | Result:     96
ALU PASS | Result:      0
ALU PASS | Result:    144
ALU PASS | Result:    156
ALU PASS | Result:   7728
ALU PASS | Result:   7740
ALU PASS | Result:      0
ALU PASS | Result:     12
ALU PASS | Result:    156
ALU PASS | Result:    168
ALU PASS | Result:   7728
ALU PASS | Result:   7740
ALU PASS | Result:     12
ALU PASS | Result:      0
ALU PASS | Result:    172
ALU PASS | Result:    160
ALU PASS | Result:   7728
ALU PASS | Result:   7716
ALU PASS | Result:      0
ALU PASS | Result:      0
ALU PASS | Result:    172
ALU PASS | Result:   2064
ALU PASS | Result:   7720
ALU PASS | Result:  27104

Simulation Finished: Reached end of golden.txt
src/cpu_top_tb.v:63: $finish called at 2658 (1s)
